YEAR,APT_IATA,APT_AIRPORT,APT_COUNTRY,APT_LATITUDE,APT_LONGITUDE,FLT_TOT_1_ORIG,FLT_TOT_1_NORMALIZED
2017,LCY,London City Airport,United Kingdom,51.505299,0.055278,80382,0.15813920546764798
2017,LDE,Tarbes-Lourdes-Pyrenees Airport,France,43.17869949,-0.006439,7012,0.013795030090556937
2017,LDY,City of Derry Airport,United Kingdom,55.0428009,-7.161109924,2268,0.004461940708126516
2017,LEH,Le Havre - Octeville Airport,France,49.53390121,0.088055998,942,0.0018532399237456694
2017,LEI,Almeria Airport,Spain,36.84389877,-2.370100021,10160,0.0199882352709724
2017,LEJ,Leipzig/Halle Airport,Germany,51.423889,12.236389,66075,0.1299923863710139
2017,LEN,Leon Airport,Spain,42.5890007,-5.655560017,1109,0.002181786704282322
2017,LGG,Liege Airport,Belgium,50.63740158,5.443220139,32485,0.06390923452534827
2017,LGW,Gatwick Airport,United Kingdom,51.148102,-0.190278,285945,0.56255274946439
2017,LHR,Heathrow Airport,United Kingdom,51.4706,-0.461941,475963,0.9363839000273461
2017,LIG,Limoges - Bellegarde Airport,France,45.8628006,1.179440022,6847,0.013470418002002759
2017,LIL,Lille Airport (Lille-Lesquin Airport),France,50.563332,3.086886,24265,0.047737650477376506
2017,LIN,Linate Airport,Italy,45.445099,9.27674,116066,0.2283419798189648
2017,LIS,Lisbon Portela Airport,Portugal,38.7813,-9.13592,203427,0.4002112929594589
2017,LJU,Ljubljana Joze Pucnik Airport (Brnik Airport),Slovenia,46.223701,14.4576,30232,0.059476804007090316
2017,LME,Le Mans Arnage Airport,France,47.94860077,0.201666996,1532,0.0030139740585757597
2017,LNZ,Linz Airport (Blue Danube Airport),Austria,48.2332,14.1875,12090,0.02378521303406066
2017,LPA,Gran Canaria Airport,Spain,27.93190002,-15.38659954,115790,0.22779899232538328
2017,LPX,Liepaja International Airport,Latvia,56.51750183,21.09690094,231,0.00045445692397584885
2017,LRH,La Rochelle - Ile de Re Airport,France,46.17919922,-1.195279956,4871,0.009582942323317575
2017,LRT,Lorient South Brittany Airport (Lann-Bihoue Airport),France,47.76060104,-3.440000057,6015,0.011833586137293208
2017,LTN,Luton Airport,United Kingdom,51.87469864,-0.368333012,135083,0.2657549985343272
2017,LUX,Luxembourg Findel Airport,Luxembourg,49.6233333,6.2044444,70667,0.13902643916277624
2017,LUZ,Lublin Airport,Poland,51.240278,22.713611,4011,0.007891024770853376
2017,LYN,Lyon-Bron Airport,France,45.72719955,4.944270134,9210,0.01811925657929683
